post_time,volume,amount,open,high,low,close,change,transaction
2024-03-18,"106,609","5,394,436",51.30,51.30,50.30,50.40,-0.70,113
2024-03-19,"70,972","3,581,537",50.70,50.80,50.20,50.30,-0.10,83
2024-03-20,"141,936","7,085,521",50.80,50.80,49.70,49.70,-0.60,143
2024-03-21,"54,316","2,717,060",51.00,51.00,49.80,49.85,+0.15,66
2024-03-22,"114,754","5,733,803",50.20,50.70,49.45,50.40,+0.55,113
2024-03-25,"145,519","7,420,148",51.40,51.40,50.40,50.60,+0.20,255
2024-03-26,"148,038","7,566,579",51.50,51.70,50.40,50.60, 0.00,224
2024-03-27,"326,462","17,022,607",50.60,52.70,50.60,52.70,+2.10,294
2024-03-28,"381,634","20,315,799",53.40,54.40,52.60,53.00,+0.30,366
2024-03-29,"196,539","10,361,101",54.00,54.00,51.90,52.00,-1.00,220
2024-04-01,"324,828","17,403,113",52.50,54.80,52.50,53.60,+1.60,321
2024-04-02,"152,103","8,120,237",53.20,53.70,52.90,53.50,-0.10,160
2024-04-03,"269,617","14,468,394",54.40,54.80,53.20,53.20,-0.30,428
2024-04-08,"692,738","38,435,570",54.10,57.00,54.00,55.90,+2.70,610
2024-04-09,"426,917","24,036,266",56.90,57.00,55.60,56.60,+0.70,402
2024-04-10,"384,639","21,925,900",56.90,57.50,56.40,57.30,+0.70,471
2024-04-11,"2,113,534","129,366,882",59.90,62.50,58.40,62.50,+5.20,"1,750"
2024-04-12,"1,093,408","66,332,916",62.30,62.80,59.50,60.90,-1.60,"1,039"
2024-04-15,"422,888","25,308,390",60.80,61.40,59.20,59.30,-1.60,552
2024-04-16,"407,951","23,450,853",59.90,59.90,55.70,57.00,-2.30,696
2024-04-17,"258,804","14,978,749",58.50,58.50,57.10,57.80,+0.80,337
2024-04-18,"190,991","11,087,341",58.10,58.80,56.90,58.20,+0.40,300
2024-04-19,"258,176","14,790,498",57.30,59.30,56.20,56.90,-1.30,357
2024-04-22,"275,200","16,037,853",58.80,58.90,57.50,58.30,+1.40,298
2024-04-23,"1,198,806","73,160,336",58.90,63.00,58.90,59.90,+1.60,995
2024-04-24,"1,241,201","76,383,382",60.30,62.90,58.60,62.50,+2.60,"1,049"
2024-04-25,"3,168,098","206,482,379",63.80,67.20,62.50,62.80,+0.30,"3,481"
2024-04-26,"816,365","50,868,318",61.60,63.90,61.10,62.00,-0.80,"1,008"
2024-04-29,"1,142,721","73,581,086",67.00,67.00,62.70,63.50,+1.50,"1,003"
2024-04-30,"505,335","31,759,358",63.20,64.00,62.00,63.20,-0.30,627
2024-05-02,"1,193,662","77,532,499",63.40,66.20,62.90,65.40,+2.20,"1,028"
2024-05-03,"685,329","44,328,171",66.00,66.50,63.50,63.70,-1.70,975
2024-05-06,"525,091","33,498,501",64.20,64.90,62.70,62.70,-1.00,582
2024-05-07,"487,752","29,825,552",63.10,63.20,60.30,60.60,-2.10,598
2024-05-08,"209,677","12,772,407",61.30,61.80,60.50,60.80,+0.20,311
2024-05-09,"244,894","15,001,645",61.40,62.00,60.60,60.60,-0.20,263
2024-05-10,"220,909","13,516,793",61.30,61.70,60.20,61.70,+1.10,270
2024-05-13,"377,231","22,635,256",61.50,61.50,59.50,60.00,-1.70,359
2024-05-14,"269,015","16,369,765",60.50,61.80,60.10,60.20,+0.20,233
